ＧｉＧＯイオンモール与野,埼玉県さいたま市中央区本町西５ー２−９イオンモール与野３Ｆ,"https://maps.google.com/maps?q=ＧｉＧＯイオンモール与野@35.89063329770034,139.61510160898433",35.8906333,139.6151016,gigo,埼玉県,,さいたま市,中央区,本町西５ー２−９イオンモール与野３Ｆ,-1,9,0,22,0
ＧｉＧＯイオンモール姫路リバーシティー,兵庫県姫路市飾磨区細江２５６０番地,"https://maps.google.com/maps?q=ＧｉＧＯイオンモール姫路リバーシティー@34.7981195,134.6686313",34.7981195,134.6686313,gigo,兵庫県,,姫路市,飾磨区,細江２５６０番地,-1,10,0,21,0
ＧｉＧＯイオン淡路,兵庫県淡路市志筑新島１０ー２,"https://maps.google.com/maps?q=ＧｉＧＯイオン淡路@34.4259919,134.9062305",34.4259919,134.9062305,gigo,兵庫県,,淡路市,,志筑新島１０ー２,-1,10,0,20,0
ＧｉＧＯイオン仙台中山,宮城県仙台市泉区南中山１−３５−５７別館３Ｆ,"https://maps.google.com/maps?q=ＧｉＧＯイオン仙台中山@38.297896075869346,140.8270834629517",38.29789608,140.8270835,gigo,宮城県,,仙台市,泉区,南中山１−３５−５７別館３Ｆ,-1,-1,-1,-1,-1
ＧｉＧＯイオン新浦安ショッピングセンター,千葉県浦安市入船１−４−１イオン新浦安ＳＣ４Ｆ,"https://maps.google.com/maps?q=ＧｉＧＯイオン新浦安ショッピングセンター@35.6489954,139.9149219",35.6489954,139.9149219,gigo,千葉県,,浦安市,,入船１−４−１イオン新浦安ＳＣ４Ｆ,-1,-1,-1,-1,-1
ＧｉＧＯイト—ヨーカドー古淵,神奈川県相模原市南区古淵３−１３−３３イトーヨーカドー３Ｆ,"https://maps.google.com/maps?q=ＧｉＧＯイト—ヨーカドー古淵@35.5530135,139.4186535",35.5530135,139.4186535,gigo,神奈川県,,相模原市,南区,古淵３−１３−３３イトーヨーカドー３Ｆ,-1,9,0,21,0
ＧｉＧＯエイスクエア草津,滋賀県草津市西渋川１−２３−２３エイスクエアＳＡＲＡ南館２階,"https://maps.google.com/maps?q=ＧｉＧＯエイスクエア草津@35.0242214,135.9597829",35.0242214,135.9597829,gigo,滋賀県,,草津市,,西渋川１−２３−２３エイスクエアＳＡＲＡ南館２階,-1,10,0,22,0
ＧｉＧＯギャラリエアピタ知立,愛知県知立市長篠町大山１８−１ギャラリエアピタ１Ｆ,"https://maps.google.com/maps?q=ＧｉＧＯギャラリエアピタ知立@34.99912370693515,137.052842080951",34.99912371,137.0528421,gigo,愛知県,,知立市,,長篠町大山１８−１ギャラリエアピタ１Ｆ,-1,10,0,21,30
ＧｉＧＯコロワ甲子園,兵庫県西宮市甲子園高潮町３−３Ｃｒｏｗａ甲子園３Ｆ,"https://maps.google.com/maps?q=ＧｉＧＯコロワ甲子園@34.7237339,135.3618492",34.7237339,135.3618492,gigo,兵庫県,,西宮市,,甲子園高潮町３−３Ｃｒｏｗａ甲子園３Ｆ,-1,10,0,21,0
ＧｉＧＯサンスパおおむら,長崎県大村市森園町６６３−３,"https://maps.google.com/maps?q=ＧｉＧＯサンスパおおむら@32.921810296137366,129.9374759030411",32.9218103,129.9374759,gigo,長崎県,,大村市,,森園町６６３−３,-1,10,0,24,0
ＧｉＧＯサントムーン柿田川,静岡県駿東郡清水町玉川６１−２サントムーン柿田川２Ｆ,"https://maps.google.com/maps?q=ＧｉＧＯサントムーン柿田川@35.10977374865972,138.90300075832624",35.10977375,138.9030008,gigo,静岡県,駿東郡,清水町,,玉川６１−２サントムーン柿田川２Ｆ,-1,10,0,24,0
ＧｉＧＯショッピングセンターチェリオ鹿嶋,茨城県鹿嶋市宮中２９０−１ショッピングセンターチェリオ１階,"https://maps.google.com/maps?q=ＧｉＧＯショッピングセンターチェリオ鹿嶋@35.959598578005476,140.64375415886082",35.95959858,140.6437542,gigo,茨城県,,鹿嶋市,,宮中２９０−１ショッピングセンターチェリオ１階,-1,-1,-1,-1,-1
ＧｉＧＯスエヒロボウル徳島,徳島県徳島市南末広町４−９５−２,"https://maps.google.com/maps?q=ＧｉＧＯスエヒロボウル徳島@34.06111240737284,134.5727754188755",34.06111241,134.5727754,gigo,徳島県,,徳島市,,南末広町４−９５−２,-1,10,0,24,0
ＧｉＧＯスマーク伊勢崎,群馬県伊勢崎市西小保方町３６８スマーク伊勢崎３Ｆ　３０２区画,"https://maps.google.com/maps?q=ＧｉＧＯスマーク伊勢崎@36.3391744,139.2330425",36.3391744,139.2330425,gigo,群馬県,,伊勢崎市,,西小保方町３６８スマーク伊勢崎３Ｆ　３０２区画,-1,-1,-1,-1,-1
ＧｉＧＯセンター南,神奈川県横浜市都筑区茅ヶ崎中央３−２５,"https://maps.google.com/maps?q=ＧｉＧＯセンター南@35.5446019,139.5746394",35.5446019,139.5746394,gigo,神奈川県,,横浜市,都筑区,茅ヶ崎中央３−２５,-1,-1,-1,-1,-1
ＧｉＧＯそよら成田ニュータウン,千葉県成田市赤坂２丁目１ー１０５Ｆ５１０区画,"https://maps.google.com/maps?q=ＧｉＧＯそよら成田ニュータウン@35.776889,140.293467",35.776889,140.293467,gigo,千葉県,,成田市,,赤坂２丁目１ー１０５Ｆ５１０区画,-1,10,0,21,0
ＧｉＧＯそよら今治馬越,愛媛県今治市馬越町４ー８ー１,"https://maps.google.com/maps?q=ＧｉＧＯそよら今治馬越@34.0561961,132.979816",34.0561961,132.979816,gigo,愛媛県,,今治市,,馬越町４ー８ー１,-1,10,0,21,0
ＧｉＧＯダイナシティ小田原,神奈川県小田原市中里２９６−１ダイナシティイーストモール３Ｆ,"https://maps.google.com/maps?q=ＧｉＧＯダイナシティ小田原@35.2818014,139.1886624",35.2818014,139.1886624,gigo,神奈川県,,小田原市,,中里２９６−１ダイナシティイーストモール３Ｆ,-1,10,0,20,0
ＧｉＧＯつかしん,兵庫県尼崎市塚口本町４−８−１つかしん内,"https://maps.google.com/maps?q=ＧｉＧＯつかしん@34.7618838,135.4180485",34.7618838,135.4180485,gigo,兵庫県,,尼崎市,,塚口本町４−８−１つかしん内,-1,10,0,22,0
ＧｉＧＯデイズタウンつくば,茨城県つくば市竹園１—９−２デイズタウンつくば地下１Ｆ,"https://maps.google.com/maps?q=ＧｉＧＯデイズタウンつくば@36.07772936300693,140.11533164180298",36.07772936,140.1153316,gigo,茨城県,,つくば市,,竹園１—９−２デイズタウンつくば地下１Ｆ,-1,10,0,24,0
ＧｉＧＯトナリエクレオつくば,茨城県つくば市吾妻１丁目７−１　トナリエクレオ３Ｆ,"https://maps.google.com/maps?q=ＧｉＧＯトナリエクレオつくば@36.0805071,140.1117159",36.0805071,140.1117159,gigo,茨城県,,つくば市,,吾妻１丁目７−１　トナリエクレオ３Ｆ,-1,-1,-1,-1,-1
ＧｉＧＯドリームタウン白樺,北海道帯広市白樺１６条西２丁目ドリームタウン白樺１階,"https://maps.google.com/maps?q=ＧｉＧＯドリームタウン白樺@42.919418067661404,143.1743324576721",42.91941807,143.1743325,gigo,北海道,,帯広市,,白樺１６条西２丁目ドリームタウン白樺１階,-1,10,0,0,0
ＧｉＧＯひたちなか,茨城県ひたちなか市田中後４０−２,"https://maps.google.com/maps?q=ＧｉＧＯひたちなか@36.34750772741275,140.58008936560668",36.34750773,140.5800894,gigo,茨城県,,ひたちなか市,,田中後４０−２,-1,10,0,0,0
ＧｉＧＯビバモール蕨錦町,埼玉県蕨市錦町１丁目１２ー１２階２１８区画,"https://maps.google.com/maps?q=ＧｉＧＯビバモール蕨錦町@35.8217943,139.6778975",35.8217943,139.6778975,gigo,埼玉県,,蕨市,,錦町１丁目１２ー１２階２１８区画,-1,10,0,21,0
ＧｉＧＯビバモール寝屋川,大阪府寝屋川市寝屋南２−２２−２ビバモール寝屋川モール棟２Ｆ,"https://maps.google.com/maps?q=ＧｉＧＯビバモール寝屋川@34.76577203960182,135.65065356931154",34.76577204,135.6506536,gigo,大阪府,,寝屋川市,,寝屋南２−２２−２ビバモール寝屋川モール棟２Ｆ,-1,10,0,24,0
